# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	216	243	229	269	0
11111	176	243	189	269	0

#WALKING RIGHT
11222	255	243	270	269	0
11223	295	244	310	269	0

#WALKING LEFT
11212	135	243	150	269	0
11213	95	244	110	269	0

#RUNNING RIGHT
11321	213	323	231	349	0
11322	253	323	271	349	0
11323	293	324	311	349	0

#RUNNING LEFT
11311	174	323	192	349	0
11312	134	323	152	349	0
11313	94	324	112	349	0

#JUMP WALK RIGHT & LEFT
11417	335	244	350	269	0
11413	55	244	70	269	0

#JUMP RUN RIGHT & LEFT
11427	333	364	351	389	0
11423	54	364	72	389	0

#SIT RIGHT & LEFT 
11521	376	248	389	265	0
11511	16	248	29	265	0

#BRACE RIGHT & LEFT 
11621	175	283	190	310	0
11611	215	283	230	310	0

#KICKING RIGHT & LEFT
11721	252	283	273	310	0
11711	133	283	154	310	0

#HOLDING SHELL RIGHT & LEFT
11821	331	323	345	350	0
11811	61	323	75	350	0

#HOLDING SHELL WALKING RIGHT
11922	356	323	371	350	0
11923	381	323	396	350	0

#HOLDING SHELL WALKING LEFT
11912	35	323	50	350	0
11913	10	323	25	350	0

#DIE
13001	375	209	390	224	0

############ SMALL ################
 #IDLE
12121	217	89	228	104	0
12111	177	89	188	104	0

#WALK RIGHT
12222	255	169	270	185	0
12223	256	89	270	105	0

#WALK LEFT
12212	135	169	150	185	0
12213	135	89	149	105	0

#RUN RIGHT
12321	255	169	270	185	0
12322	256	89	270	105	0
12323	215	169	230	185	0

#RUN LEFT
12311	135	169	150	185	0
12312	135	89	149	105	0
12313	175	169	190	185	0

#BRACE RIGHT & LEFT
12511	216	129	229	145	0
12521	176	129	189	145	0

#JUMP WALK RIGHT & LEFT 
12413	55	89	70	105	0
12417	335	89	350	105	0

#JUMP RUN RIGHT & LEFT 
12423	175	209	190	225	0
12427	215	209	230	225	0

#KICKING RIGHT & LEFT
12621	255	129	271	145	0
12611	135	129	151	145	0

#HOLDING SHELL IDLE
12821	336	169	350	185	0
12811	56	169	70	185	0

#HOLDING SHELL WALK RIGHT
12922	376	169	391	185	0

#HODLING SHELL WALK LEFT
12912	15	169	30	185	0

###########  HAVE TAIL ###############
#IDLE
14121	219	443	233	471	0
14111	173	443	187	471	0

#WALKING RIGHT
14222	268	443	284	471	0
14223	298	443	314	470	0

#WALKING LEFT
14212	122	443	138	471	0
14213	92	443	108	470	0

#RUNNING RIGHT
14321	216	523	235	551	0
14322	256	523	275	551	0
14323	296	523	315	550	0

#RUNNING LEFT
14311	171	523	190	551	0
14312	131	523	150	551	0
14313	91	523	110	550	0

#JUMP WALK RIGHT & LEFT
14417	338	443	354	470	0
14413	52	443	68	470	0

#JUMP RUN RIGHT & LEFT
14427	296	603	315	630	0
14423	91	603	110	630	0

#SIT RIGHT & LEFT 
14521	380	448	394	466	0
14511	12	448	26	466	0

#BRACE RIGHT & LEFT 
14621	175	482	191	512	0
14611	215	482	231	512	0

#KICKING RIGHT & LEFT
14721	247	483	269	511	0
14711	137	483	159	511	0

#HOLDING SHELL IDLE
14821	329	523	343	551	0
14811	63	523	77	551	0

#HOLDING SHELL WALKING RIGHT
14922	358	523	373	551	0
14923	388	523	404	550	0

#HOLDING SHELL WALKING LEFT
14912	33	523	48	551	0
14913	2	523	18	550	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#KICKING RIGHT & LEFT
1700	11121	50	11721	200
1701	11111	50	11711	200

#HODLING SHELL IDLE
2700	11821	100
2701	11811	100

#HOLDING SHELL WALKING RIGHT & LEFT 
2800	11821	100	11922	100	11923	100
2801	11811	100	11912	100	11913	100

#DIE
999	13001	100

################### SMALL #################
1100	12121	100
1102	12111	100

#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

#KICKING RIGHT & LEFT
1800	12121	50	12621	200
1801	12111	50	12611	200

#HOLDING SHELL IDLE
2900	12821	100
2902	12811	100

#HOLDING SHELL WALK LEFT & RIGHT 
3000	12821	100	12922	100	12923	100
3001	12811	100	12912	100	12913	100

######## HAVE TAIL #################
1900	14121	100
1902	14111	100

#WALK LEFT & RIGHT 
2000	14121	100	14222	100	14223	100
2001	14111	100	14212	100	14213	100

#RUN LEFT & RIGHT
2100	14321	100	14322	100	14323	100
2101	14311	100	14312	100	14313	100

#BRACE LEFT & RIGHT
2201	14511	100
2200	14521	100

#JUMP WALK
2300	14417	100
2301	14413	100

#JUMP RUN 
2401	14423	100
2400	14427	100

#KICKING RIGHT & LEFT
2500	14121	50	14621	200
2501	14111	50	14611	200

#SIT RIGHT & LEFT 
2600	14521	100
2601	14511	100

#HOLDING SHELL IDLE
3100	14821	100
3102	14811	100

#WALK LEFT & RIGHT 
3200	14821	100	14922	100	14923	100
3201	14811	100	14912	100	14913	100
